FIELD_1,FIELD_2,FIELD_3,FIELD_4,TAR_SLOPE.,TARRAWAR,TAR_PROFCU,TAR_ASPECT,TAR_PLANCU,TAR_MCURV.
2,940,990,47.90000000,0.13049799,95.97000122,0.00001925,3.47539163,-0.00041903,-0.00039978
2,940,1000,47.70000000,0.12308832,97.19000244,0.00145534,3.49657822,0.00054509,0.00200043
2,940,1010,48.30000000,0.10259496,98.26000214,0.00302416,3.56178689,0.00097608,0.00400024
2,940,1020,50.60000000,0.08123371,99.06999969,0.00149893,3.62721944,0.00010080,0.00159973
2,940,1030,46.60000000,0.07071212,99.72000122,0.00020917,3.67475414,0.00019091,0.00040009
2,940,1040,45.20000000,0.06952260,100.30999756,-0.00029625,3.75349712,0.00069603,0.00039978
2,960,1040,27.60000000,0.06900608,101.08999634,0.00149665,3.68944454,-0.00029731,0.00119934
2,960,1030,46.80000000,0.07281635,100.48000336,0.00046341,3.72199202,-0.00006271,0.00040070
2,960,1020,46.70000000,0.07807099,99.86000061,0.00132006,3.70832253,0.00027997,0.00160004
2,960,1010,48.10000000,0.09809672,99.09999847,0.00188398,3.62796140,-0.00068403,0.00119995
2,960,1000,47.60000000,0.12196799,98.11000061,0.00195725,3.57969570,-0.00075700,0.00120026
2,960,990,47.10000000,0.13165717,96.93000031,0.00001016,3.57821918,-0.00081033,-0.00080017
2,960,980,47.20000000,0.13344119,95.72000122,-0.00021499,3.57192230,-0.00058488,-0.00079987
2,960,970,49.20000000,0.13296425,94.50000000,-0.00039122,3.58183336,-0.00120912,-0.00160034
2,960,960,47.40000000,0.13558169,93.27999878,-0.00047169,3.58884478,-0.00112835,-0.00160004
2,960,950,46.00000000,0.13646694,92.04000092,-0.00087372,3.58569694,-0.00112610,-0.00199982
2,980,1000,51.10000000,0.10516124,99.15000153,0.00224283,3.59252954,0.00055715,0.00279999
2,980,1010,48.80000000,0.08789192,100.00000000,0.00096066,3.62553859,0.00023960,0.00120026
2,980,1020,47.60000000,0.07754245,100.72000122,0.00050951,3.69745660,0.00069075,0.00120026
2,980,1030,45.80000000,0.07068446,101.33999634,0.00124985,3.77661753,0.00074935,0.00199921
2,1000,1030,23.80000000,0.05860095,102.01000214,0.00149955,3.65863061,0.00010049,0.00160004
2,1000,1020,47.20000000,0.07188982,101.41999817,0.00112921,3.58660483,0.00047021,0.00159943
2,1000,1010,46.20000000,0.08152572,100.70999908,0.00073150,3.51754737,0.00086824,0.00159973
2,1000,1000,46.90000000,0.09364551,99.90000153,0.00181718,3.46671343,0.00098311,0.00280029
2,1000,990,47.60000000,0.11162359,98.90000153,0.00085176,3.41254163,0.00074858,0.00160034
2,1000,980,46.00000000,0.12331051,97.76000214,0.00087365,3.39440370,0.00112678,0.00200043
2,1000,970,48.30000000,0.12712671,96.54000092,0.00077633,3.38656998,0.00122349,0.00199982
2,1000,960,49.70000000,0.13508780,95.26000214,0.00098138,3.34908772,0.00101874,0.00200012
2,1000,950,46.70000000,0.14353974,93.87000275,0.00019883,3.28740287,0.00060134,0.00080017
2,1000,940,48.50000000,0.13870999,92.43000031,-0.00212764,3.23484468,0.00052760,-0.00160004
2,1000,930,47.90000000,0.11963051,91.13999939,-0.00166031,3.19986582,0.00126023,-0.00040009
2,1000,920,48.40000000,0.11449642,89.98999786,0.00039978,3.14159274,0.00159973,0.00199951
2,1000,910,45.70000000,0.12048042,88.80999756,0.00040769,3.10854626,0.00159213,0.00199982
2,1000,900,45.90000000,0.10956387,87.62000275,-0.00241209,3.13249993,0.00041258,-0.00199951
2,1000,890,46.50000000,0.07835668,86.66999817,-0.00288998,3.25647449,-0.00071018,-0.00360016
2,1000,880,48.10000000,0.05143283,86.05999756,-0.00098902,3.56178689,-0.00141119,-0.00240021
2,1000,870,60.40000000,0.04311208,85.68000031,-0.00039391,3.94338655,-0.00240608,-0.00279999
2,1000,860,48.00000000,0.04489214,85.45999908,-0.00043619,4.41878986,-0.00276419,-0.00320038
